"CountryName","SE.XPD.TOTL.GD.ZS","SE.PRM.ENRR.FE","SE.PRM.NENR.FE","SE.PRM.CMPT.ZS","LO.PISA.MAT","LO.PISA.MAT.FE","LO.PISA.MAT.MA","LO.PISA.REA","LO.PISA.REA.FE","LO.PISA.REA.MA","LO.PISA.SCI","LO.PISA.SCI.FE","LO.PISA.SCI.MA","SE.PRM.CMPT.FE.ZS","SE.PRM.CMPT.MA.ZS","SP.PRM.TOTL.FE.IN","SP.PRM.TOTL.MA.IN","SP.SEC.TOTL.IN","SP.SEC.TOTL.FE.IN","SP.SEC.TOTL.MA.IN","SP.PRM.TOTL.IN","SE.COM.DURS","NY.GDP.PCAP.CD","NY.GDP.PCAP.PP.CD","NY.GDP.MKTP.CD","NY.GNP.PCAP.PP.CD","NY.GNP.PCAP.CD","UIS.XGDP.1.FSGOV","UIS.X.PPP.1.FSGOV","UIS.X.US.1.FSGOV","UIS.XGDP.23.FSGOV","UIS.X.PPP.2T3.FSGOV","UIS.X.US.2T3.FSGOV","UIS.XGDP.56.FSGOV","UIS.X.PPP.5T8.FSGOV","UIS.X.US.5T8.FSGOV","SE.PRM.ENRR.MA","SE.PRM.ENRR","SE.SEC.ENRR","SE.SEC.ENRR.FE","SE.SEC.ENRR.MA","SE.TER.ENRR","SE.TER.ENRR.FE","SE.TER.ENRR.MA","HD.HCI.OVRL.MA","HD.HCI.OVRL.FE","HD.HCI.HLOS.FE","HD.HCI.HLOS.MA","HD.HCI.HLOS","HD.HCI.OVRL","HD.HCI.EYRS.FE","HD.HCI.EYRS.MA","HD.HCI.EYRS","HD.HCI.MORT","HD.HCI.MORT.MA","HD.HCI.MORT.FE","HD.HCI.AMRT.FE","HD.HCI.AMRT.MA","HD.HCI.AMRT","UIS.XUNIT.GDPCAP.1.FSGOV","UIS.XUNIT.PPP.1.FSGOV.FFNTR","UIS.XUNIT.US.1.FSGOV.FFNTR","UIS.XUNIT.GDPCAP.23.FSGOV","UIS.XUNIT.US.23.FSGOV.FFNTR","UIS.XUNIT.PPP.2T3.FSGOV.FFNTR","UIS.XUNIT.GDPCAP.5T8.FSGOV","UIS.XUNIT.US.5T8.FSGOV.FFNTR","UIS.XUNIT.PPP.5T8.FSGOV.FFNTR","IT.NET.USER.P2","SL.TLF.ADVN.ZS","SL.TLF.ADVN.MA.ZS","SL.TLF.ADVN.FE.ZS","SE.PRM.NENR.MA","SE.SEC.NENR","SE.PRM.NENR","SE.SEC.NENR.MA","SE.PRM.PRIV.ZS","SE.SEC.PRIV.ZS","SE.TER.PRIV.ZS","IT.CMP.PCMP.P2","UIS.SAP.CE","UIS.SAP.CE.F","UIS.SAP.CE.M","SP.POP.TOTL.FE.IN","SP.POP.TOTL.MA.IN","SP.POP.TOTL","SE.PRM.ENRL.TC.ZS","UIS.PTRHC.56","SE.SEC.ENRL.TC.ZS"
"Afghanistan",4.05887,82.85025,NA,85.62533,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.1293,103.28326,3106230,3245894,5653049,2752240,2900809,6352124,9,520.896602719135,1955.00620775557,19362969582.3643,1970,550,1.79364,1259.5005,362.16764,0.90325,634.26455,182.3819,0.51942,337.2507,103.40219,124.22975,103.99616,55.42521,39.9984,70.05276,9.68642,4.90508,14.2081,0.395,0.363,350,358,355,0.389,6.73,9.21,8.58,0.9321,0.9282,0.9363,0.8018,0.7597,0.7797,10.25174,198.33392,57.03065,11.3072,62.90218,218.75318,42.24158,259.30262,801.54496,13.5,64.6766967773438,70.1089019775391,48.6431007385254,NA,50.1407,NA,62.88953,5.95128,4.45812,49.81625,NA,9292896,4540097,4752799,18512000,19530000,38042000,48.78979,21.52832,33.50124
"Albania",2.46866,109.11123,93.70449,101.53786,437.221991161354,439.727776830114,434.817394239319,405.429366278381,424.622692893042,387.011105420474,416.726257580122,425.060885708796,408.728198769916,104.65677,98.85868,74539,84892,269304,125643,143661,159431,9,5268.84850355919,13364.1553966514,15102500898.238,13350,4860,2.07978,772.7248,270.8924,0.77846,289.23025,101.3948,0.68053,252.84704,88.64002,105.15258,106.99342,95.43233,95.70465,95.19122,54.96133,67.57861,43.04797,0.606,0.637,445,414,429,0.621,12.89,13.08,12.99,0.9912,0.9905,0.9919,0.9503,0.9227,0.9365,34.18148,4419.71217,1549.40857,7.97805,361.63608,1031.57256,13.78559,624.88557,1782.49585,71.8470405,73.3000030517578,73.7099990844727,72.9300003051758,90.33588,86.60827,94.52966,84.32964,7.7408,8.79378,17.68677,NA,311126,144476,166650,1407000,1460000,2867000,17.57287,14.06519,11.19927
"Algeria",NA,107.30229,NA,105.14396,359.6062,363.072479076874,356.495105666181,349.8593,366.208166798086,335.185435908668,375.7451,383.220938935314,369.035233788056,105.62508,104.68193,2060626,2147424,4322457,2117422,2205035,4208050,10,4114.71506136896,15481.7876195754,173757952824.25,14970,3920,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.35955,109.88282,99.61435,101.54452,97.75898,51.36567,64.42081,38.8317,0.504,0.545,383,366,374,0.523,11.84,11.01,11.42,0.976,0.9745,0.9775,0.9182,0.896,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.57968476,NA,NA,NA,NA,NA,97.63517,NA,1.27619,0.2714,0,NA,7067878,3461891,3605987,21303000,21750000,43053000,24.32018,27.2934,NA
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11466.6907058505,NA,6.36e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,NA,NA,NA
"Andorra",3.22691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,42029.7627372989,NA,3236543909.34844,NA,NA,0.69122,NA,22.37155,0.81663,NA,26.43051,0.18203,NA,5.89155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.30702,NA,5172.61224,13.93424,5856.52744,NA,22.28547,9366.52979,NA,91.56746703,NA,NA,NA,NA,NA,NA,NA,2.28902,3.05783,10.0159,NA,NA,NA,NA,NA,NA,77000,10.49757,4.42958,8.01599
"Angola",3.42132,105.88815,67.27698,46.18715,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.54657,59.00897,2845253,2853512,4532748,2282105,2250643,5698765,6,3432.38573600893,6452.35516529031,105750987618.63,6170,3370,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.13591,113.47796,50.67148,39.74183,61.77439,9.33626,8.45325,10.23823,0.365,0.358,325,327,326,0.361,7.07,8.69,7.89,0.9189,0.9131,0.9251,0.8,0.7266,0.7638,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.33907936,89.1063003540039,89.7556991577148,88.1939010620117,88.90347,11.29064,78.02393,12.52422,14.11856,21.46779,55.12878,NA,5698765,2845253,2853512,16081000,15745000,31825000,50.02951,25.5239,26.76619
"Antigua and Barbuda",NA,104.59891,94.76904,96.19883,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9645,93.49711,4801,4926,6970,3449,3521,9727,11,16726.9808079479,26868.1335238429,1610574074.07407,25490,15890,NA,NA,NA,0.92856,16.53661,10.60458,NA,NA,NA,105.43367,105.02127,111.19604,109.0701,113.27731,24.83026,34.28886,15.26888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.80909,1255.12894,1957.22673,NA,NA,NA,76,NA,NA,NA,93.6328,88.78981,95.69547,87.87115,48.76025,17.97352,43.13616,NA,15243,7535,7708,50000,47000,97000,12.40564,8.18265,9.29704
"Arab World",NA,92.9635,82.10073,84.96593,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33913,86.52134,24821889,25983490,45745802,22371564,23374238,50805379,NA,7715.99867662883,16052.5465299988,2853079422136.26,16141.5602516837,7196.53273639369,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.25438,95.66943,72.33986,69.82211,74.74961,32.21509,33.93819,30.58612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8686015566291,NA,NA,NA,85.91534,63.51428,84.05164,65.6165,9.87196,9.82461,NA,NA,73737021,35997720,37739301,178464450,191297073,369761523,20.78495,NA,14.49976
"Argentina",5.46223,109.62778,NA,99.96276,379.453816602929,371.848368383667,387.279359567793,401.503108807317,409.414080880782,393.363200406132,404.071444821693,399.231010217297,409.051957195621,99.69321,100.22279,2151543,2231749,4268654,2096955,2171699,4383292,14,11683.9496216363,20610.5685495282,519871519807.795,19870,12390,1.61653,14840.23257,10389.34103,2.15973,19827.07204,13880.52459,1.20608,11072.21015,7751.42618,109.85108,109.74146,108.7336,111.03346,106.51183,89.95852,112.79844,67.77473,0.59,0.632,421,427,424,0.611,13.32,12.83,13.07,0.9896,0.9887,0.9906,0.9269,0.8511,0.889,14.97726,3121.73384,2185.46154,20.6226,3009.22148,4298.4003,16.91251,2467.8502,3525.10047,74.29490687,79.5768966674805,86.043701171875,75.388298034668,NA,90.79605,99.184,88.61459,26.65361,26.8304,24.24689,NA,10102450,4960802,5141648,23001000,21900000,44901000,NA,NA,NA
"Armenia",2.70759,92.6959,90.5458,89.87896,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.51942,90.19305,78611,89508,287921,133762,154159,168119,12,4212.07094272937,10343.1755901515,12433089919.0459,10480,4230,0.52456,148.61423,60.46789,1.26913,359.56426,146.29886,0.35178,99.66491,40.55148,92.73222,92.71525,83.15068,84.80038,81.72561,54.57048,62.64839,47.1191,0.551,0.593,448,439,443,0.572,11.27,10.92,11.09,0.9874,0.986,0.9888,0.9268,0.828,0.8815,10.15365,976.86399,397.46466,14.57604,581.03457,1225.12659,9.88124,386.80135,950.65638,64.74488433,73.609001159668,84.2189025878906,65.7264022827148,90.87785,87.74122,90.72273,87.45784,2.30877,2.47294,10.29147,NA,448068,208276,239792,1566000,1391000,2958000,15.41859,6.92216,8.01689
